age,race,hispanic,year,pop_est
40,american_indian,0,2003,187511
40,american_indian,1,2003,61598
40,asian_pacific,0,2003,1024382
40,asian_pacific,1,2003,32399
40,black,0,2003,2820381
40,black,1,2003,112508
40,white,0,2003,16129300
40,white,1,2003,2521968
45,american_indian,0,2003,172528
45,american_indian,1,2003,48406
45,asian_pacific,0,2003,938403
45,asian_pacific,1,2003,24996
45,black,0,2003,2560149
45,black,1,2003,92203
45,white,0,2003,15893599
45,white,1,2003,1992392
50,american_indian,0,2003,144020
50,american_indian,1,2003,35100
50,asian_pacific,0,2003,809769
50,asian_pacific,1,2003,18796
50,black,0,2003,2124120
50,black,1,2003,70609
50,white,0,2003,14366933
50,white,1,2003,1527931
55,american_indian,0,2003,109712
55,american_indian,1,2003,22918
55,asian_pacific,0,2003,607329
55,asian_pacific,1,2003,12599
55,black,0,2003,1553388
55,black,1,2003,48329
55,white,0,2003,12327189
55,white,1,2003,1133093
60,american_indian,0,2003,78092
60,american_indian,1,2003,14239
60,asian_pacific,0,2003,444252
60,asian_pacific,1,2003,8270
60,black,0,2003,1172221
60,black,1,2003,33814
60,white,0,2003,9628159
60,white,1,2003,815341
65,american_indian,0,2003,55782
65,american_indian,1,2003,10325
65,asian_pacific,0,2003,347977
65,asian_pacific,1,2003,6160
65,black,0,2003,945832
65,black,1,2003,26354
65,white,0,2003,7796799
65,white,1,2003,641567
70,american_indian,0,2003,39676
70,american_indian,1,2003,7445
70,asian_pacific,0,2003,270885
70,asian_pacific,1,2003,4499
70,black,0,2003,751709
70,black,1,2003,19172
70,white,0,2003,7071333
70,white,1,2003,505400
75,american_indian,0,2003,27641
75,american_indian,1,2003,5064
75,asian_pacific,0,2003,198435
75,asian_pacific,1,2003,3062
75,black,0,2003,580927
75,black,1,2003,13243
75,white,0,2003,6300350
75,white,1,2003,369120
80,american_indian,0,2003,16813
80,american_indian,1,2003,2934
80,asian_pacific,0,2003,122411
80,asian_pacific,1,2003,1776
80,black,0,2003,378414
80,black,1,2003,8119
80,white,0,2003,4645421
80,white,1,2003,222708
85,american_indian,0,2003,12846
85,american_indian,1,2003,2002
85,asian_pacific,0,2003,85602
85,asian_pacific,1,2003,1434
85,black,0,2003,307268
85,black,1,2003,6123
85,white,0,2003,3888892
85,white,1,2003,162009
0,american_indian,0,2004,196893
0,american_indian,1,2004,102368
0,asian_pacific,0,2004,942940
0,asian_pacific,1,2004,71259
0,black,0,2004,2931146
0,black,1,2004,207660
0,white,0,2004,11275581
0,white,1,2004,4058038
5,american_indian,0,2004,196261
5,american_indian,1,2004,95320
5,asian_pacific,0,2004,863780
5,asian_pacific,1,2004,61426
5,black,0,2004,2993957
5,black,1,2004,200659
5,white,0,2004,11575562
5,white,1,2004,3467272
10,american_indian,0,2004,235116
10,american_indian,1,2004,104424
10,asian_pacific,0,2004,893710
10,asian_pacific,1,2004,57995
10,black,0,2004,3447218
10,black,1,2004,199975
10,white,0,2004,12929786
10,white,1,2004,3543456
15,american_indian,0,2004,233412
15,american_indian,1,2004,104368
15,asian_pacific,0,2004,927506
15,asian_pacific,1,2004,52239
15,black,0,2004,3209734
15,black,1,2004,172258
15,white,0,2004,13135560
15,white,1,2004,3267475
20,american_indian,0,2004,202401
20,american_indian,1,2004,99380
20,asian_pacific,0,2004,1098960
20,asian_pacific,1,2004,54421
20,black,0,2004,2939417
20,black,1,2004,178507
20,white,0,2004,12746813
20,white,1,2004,3525661
25,american_indian,0,2004,161679
25,american_indian,1,2004,92941
25,asian_pacific,0,2004,1200600
25,asian_pacific,1,2004,52210
25,black,0,2004,2508840
25,black,1,2004,175696
25,white,0,2004,11438457
25,white,1,2004,3476632
30,american_indian,0,2004,164200
30,american_indian,1,2004,86652
30,asian_pacific,0,2004,1262202
30,asian_pacific,1,2004,46654
30,black,0,2004,2598750
30,black,1,2004,158266
30,white,0,2004,12515728
30,white,1,2004,3327049
35,american_indian,0,2004,168264
35,american_indian,1,2004,79648
35,asian_pacific,0,2004,1124476
35,asian_pacific,1,2004,39560
35,black,0,2004,2656697
35,black,1,2004,136973
35,white,0,2004,13697471
35,white,1,2004,2971560
40,american_indian,0,2004,188659
40,american_indian,1,2004,68643
40,asian_pacific,0,2004,1064178
40,asian_pacific,1,2004,35058
40,black,0,2004,2842159
40,black,1,2004,119580
40,white,0,2004,15964292
40,white,1,2004,2643057
45,american_indian,0,2004,176359
45,american_indian,1,2004,54245
45,asian_pacific,0,2004,970114
45,asian_pacific,1,2004,27382
45,black,0,2004,2630251
45,black,1,2004,97780
45,white,0,2004,16009903
45,white,1,2004,2099228
50,american_indian,0,2004,149070
50,american_indian,1,2004,39825
50,asian_pacific,0,2004,843107
50,asian_pacific,1,2004,20709
50,black,0,2004,2202479
50,black,1,2004,76180
50,white,0,2004,14619487
50,white,1,2004,1613811
55,american_indian,0,2004,116524
55,american_indian,1,2004,26284
55,asian_pacific,0,2004,661870
55,asian_pacific,1,2004,14167
55,black,0,2004,1665057
55,black,1,2004,53007
55,white,0,2004,12858067
55,white,1,2004,1212200
60,american_indian,0,2004,81726
60,american_indian,1,2004,16130
60,asian_pacific,0,2004,472289
60,asian_pacific,1,2004,9048
60,black,0,2004,1216886
60,black,1,2004,35821
60,white,0,2004,10006611
60,white,1,2004,859617
65,american_indian,0,2004,58423
65,american_indian,1,2004,11412
65,asian_pacific,0,2004,367142
65,asian_pacific,1,2004,6674
65,black,0,2004,964520
65,black,1,2004,27965
65,white,0,2004,7967166
65,white,1,2004,670127
70,american_indian,0,2004,40840
70,american_indian,1,2004,8079
70,asian_pacific,0,2004,282260
70,asian_pacific,1,2004,4854
70,black,0,2004,760685
70,black,1,2004,20127
70,white,0,2004,6958778
70,white,1,2004,518481
75,american_indian,0,2004,28114
75,american_indian,1,2004,5671
75,asian_pacific,0,2004,207594
75,asian_pacific,1,2004,3350
75,black,0,2004,583842
75,black,1,2004,14116
75,white,0,2004,6232092
75,white,1,2004,386620
80,american_indian,0,2004,17525
80,american_indian,1,2004,3301
80,asian_pacific,0,2004,131632
80,asian_pacific,1,2004,1954
80,black,0,2004,386538
80,black,1,2004,8719
80,white,0,2004,4738485
80,white,1,2004,240350
85,american_indian,0,2004,13033
85,american_indian,1,2004,2262
85,asian_pacific,0,2004,92170
85,asian_pacific,1,2004,1524
85,black,0,2004,310815
85,black,1,2004,6518
85,white,0,2004,3950064
85,white,1,2004,169497
0,american_indian,0,2005,199074
0,american_indian,1,2005,111794
0,asian_pacific,0,2005,976995
0,asian_pacific,1,2005,77858
0,black,0,2005,2934127
0,black,1,2005,232489
0,white,0,2005,11200452
0,white,1,2005,4184611
5,american_indian,0,2005,195393
5,american_indian,1,2005,104086
5,asian_pacific,0,2005,883580
5,asian_pacific,1,2005,65417
5,black,0,2005,2962978
5,black,1,2005,209215
5,white,0,2005,11431258
5,white,1,2005,3537140
10,american_indian,0,2005,228613
10,american_indian,1,2005,113294
10,asian_pacific,0,2005,911680
10,asian_pacific,1,2005,61818
10,black,0,2005,3396447
10,black,1,2005,209058
10,white,0,2005,12655288
10,white,1,2005,3636381
15,american_indian,0,2005,237206
15,american_indian,1,2005,114161
15,asian_pacific,0,2005,957101
15,asian_pacific,1,2005,57143
15,black,0,2005,3323115
15,black,1,2005,187486
15,white,0,2005,13202656
15,white,1,2005,3407346
20,american_indian,0,2005,205379
20,american_indian,1,2005,108657
20,asian_pacific,0,2005,1117026
20,asian_pacific,1,2005,57751
20,black,0,2005,2950378
20,black,1,2005,184545
20,white,0,2005,12776878
20,white,1,2005,3559341
25,american_indian,0,2005,165528
25,american_indian,1,2005,102731
25,asian_pacific,0,2005,1234545
25,asian_pacific,1,2005,57049
25,black,0,2005,2582461
25,black,1,2005,187803
25,white,0,2005,11642095
25,white,1,2005,3562498
30,american_indian,0,2005,161295
30,american_indian,1,2005,95091
30,asian_pacific,0,2005,1288161
30,asian_pacific,1,2005,49747
30,black,0,2005,2547273
30,black,1,2005,164566
30,white,0,2005,12026446
30,white,1,2005,3391358
35,american_indian,0,2005,165888
35,american_indian,1,2005,87181
35,asian_pacific,0,2005,1176317
35,asian_pacific,1,2005,42709
35,black,0,2005,2635832
35,black,1,2005,144187
35,white,0,2005,13477987
35,white,1,2005,3068552
40,american_indian,0,2005,186477
40,american_indian,1,2005,75929
40,asian_pacific,0,2005,1091300
40,asian_pacific,1,2005,37795
40,black,0,2005,2835223
40,black,1,2005,125296
40,white,0,2005,15616661
40,white,1,2005,2738204
45,american_indian,0,2005,180803
45,american_indian,1,2005,60754
45,asian_pacific,0,2005,1006082
45,asian_pacific,1,2005,29991
45,black,0,2005,2703984
45,black,1,2005,104318
45,white,0,2005,16107624
45,white,1,2005,2223615
50,american_indian,0,2005,153923
50,american_indian,1,2005,45045
50,asian_pacific,0,2005,875318
50,asian_pacific,1,2005,22698
50,black,0,2005,2277838
50,black,1,2005,81907
50,white,0,2005,14916976
50,white,1,2005,1705028
55,american_indian,0,2005,123986
55,american_indian,1,2005,30191
55,asian_pacific,0,2005,725233
55,asian_pacific,1,2005,16005
55,black,0,2005,1797089
55,black,1,2005,58788
55,white,0,2005,13445777
55,white,1,2005,1306151
60,american_indian,0,2005,85047
60,american_indian,1,2005,18379
60,asian_pacific,0,2005,500626
60,asian_pacific,1,2005,10014
60,black,0,2005,1255526
60,black,1,2005,38088
60,white,0,2005,10322640
60,white,1,2005,907957
65,american_indian,0,2005,61043
65,american_indian,1,2005,12612
65,asian_pacific,0,2005,389753
65,asian_pacific,1,2005,7372
65,black,0,2005,988783
