"year","race_ethnicity","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
2009,"nh_american_indian",11.3832045988495,17.7308059160458,6.34760131719637,0,1.28457579226708,5.3385446830982,2.92472781526381,2.39167237448326,1.4358793689931,0,8.29435023908149,0.477319026961221,0.748596453065563,0.271277426104343,0,0.056381328358057,0.223840733544062,0.117124188412973,0.102740228811811,0.0605807089153104,0,0.349910360939765
2010,"nh_american_indian",9.37916908789482,16.8568805252451,7.47771143735028,0,1.12984924402812,5.00026283513862,2.70916024876695,1.24974575847604,0.781917834353503,0,6.46635576666312,0.385356745742871,0.699030150059184,0.313673404316313,0,0.0466476166236035,0.209393361625668,0.107674085572102,0.0485547077293347,0.0311768112449934,0,0.267386871489323
2011,"nh_american_indian",10.3435749478695,18.17403695238,7.83046200451051,0,1.75308341928575,4.78070958674403,2.65995820607606,1.41057093296254,1.37445490870727,0,7.06113719199983,0.42619209668847,0.758970573720493,0.332778477032023,0,0.0722399318029364,0.196544192975565,0.103880070001165,0.0636038971638964,0.0588297722348421,0,0.297254584637307
2012,"nh_american_indian",11.0153222114031,18.9449160005443,7.92959378914118,0,1.76553738812743,5.74791372245425,2.2574705832979,1.57906657415957,1.49636182137245,0,8.06973693924287,0.44540150649357,0.772218350246291,0.326816843752721,0,0.0691959716100222,0.235351647850692,0.0937890806213096,0.0630878642989515,0.060749593623651,0,0.326630147938768
2013,"nh_american_indian",10.4978234508792,18.563133139048,8.06530968816879,0,2.68177022739708,5.56873083406347,1.90329633940469,1.22428395982998,0.87459405762573,0,7.26321668128742,0.416386384266686,0.752588130948071,0.336201746681385,0,0.106799597754387,0.220741832514647,0.0781968740757442,0.0469442360990372,0.0345240157845048,0,0.285078778219862
2014,"nh_american_indian",12.0210361850503,20.9665137610955,8.94547757604522,0,3.69453452897346,6.32090365673912,1.27294841750821,1.74248084538519,1.20286987420835,0,8.4310750187065,0.48824268134736,0.86068365306262,0.37244097171526,0,0.148385919642179,0.25784741833544,0.0499266419101431,0.0714283936988829,0.0470140539114442,0,0.344790499065777
2015,"nh_american_indian",12.2297109424682,21.3958797677417,9.16616882527345,0,4.45242847212092,5.89009536549688,1.5739713710841,2.10348515803976,1.74005789396516,0,8.67041191102324,0.495278825059165,0.864560559405947,0.369281734346782,0,0.175791704825818,0.238590927204419,0.0647034478991723,0.0903687549993523,0.0709259995500005,0,0.354771855041456
2016,"nh_american_indian",13.8418807744268,24.1631437174198,10.321262942993,0,4.98586650666757,5.44588387130321,1.37574725797762,4.10803945981396,1.31986687076969,0,9.82656816233122,0.545410254664644,0.959741021329043,0.414330766664399,0,0.199460471743817,0.215590046502326,0.0530694867573761,0.156598330443352,0.0523214688421597,0,0.386350560756601
2017,"nh_american_indian",15.7315712565663,25.794720584147,10.0631493275807,0,5.19351490626222,5.77782759925883,1.75498419902324,6.5487809377325,1.31703834539322,0,11.7865126989353,0.636258057023416,1.03759298795928,0.401334930935862,0,0.208561039087909,0.238124109987318,0.0691172764843559,0.262865876021395,0.0547097303353328,0,0.482109033898201
2018,"nh_american_indian",14.1860500136046,26.9101344175306,12.724084403926,0,5.09422329207751,3.92395209426983,1.03085541620684,7.32435345557068,1.03649955489854,0,10.9195416154921,0.565947362768058,1.07525422109358,0.509306858325519,0,0.204020493095576,0.157143165593485,0.0412633111167622,0.294941635817667,0.039120264544636,0,0.434867571789229
