"year","age","age_cat","race","pop","pop_std","unit_w","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
2000,85,"85+","black",316523,4259173,0.0155085624943211,0.31593280741052,6.3186561482104,6.00272334079988,0,0,0,0,0,0.31593280741052,0,0.31593280741052,0.0998135387982927,1.99627077596585,1.89645723716756,0,0,0,0,0,0.0998135387982927,0,0.0998135387982927
2001,0,"0-4","total",19298217,18986520,0.0691339919673788,0.0984546914360016,0.24872764152253,0.150272950086529,0,0,0.0621819103806326,0.0207273034602109,0,0.0207273034602109,0,0.0777273879757907,0.000510175066618857,0.00128886332619501,0.00077868825957615,0,0,0.000322215831548752,0.000107405277182917,0,0.000107405277182917,0,0.00040276978943594
2001,5,"5-9","total",20173362,19919840,0.0725324102864281,0.00991406390268514,0.034699223659398,0.0247851597567128,0,0,0.00991406390268514,0,0,0,0,0.00991406390268514,4.91443315332622e-05,0.000172005160366418,0.000122860828833156,0,0,4.91443315332622e-05,0,0,0,0,4.91443315332622e-05
2001,10,"10-14","total",20978678,20056779,0.0730310345591237,0.0762679135453626,0.171602805477066,0.0953348919317032,0,0.00953348919317032,0.0476674459658516,0.00476674459658516,0,0.0143002337897555,0,0.0619676797556071,0.000363549664785181,0.000817986745766658,0.000454437080981477,0,4.54437080981477e-05,0.000227218540490738,2.27218540490738e-05,0,6.81655621472215e-05,0,0.00029538410263796
2001,15,"15-19","total",20456284,19819518,0.0721671163651538,1.28566850166922,2.48334448231165,1.19767598064243,0,0.19553893561509,0.562174439893384,0.234646722738108,0.0733271008556588,0.366635504278294,0,0.953252311123565,0.00628495625925617,0.0121397634209207,0.00585480716166449,0,0.00095588688353706,0.00274817479016905,0.00114706426024447,0.000358457581326397,0.00179228790663199,0,0.00465994855724317
2001,20,"20-24","total",19757286,18257225,0.0664784724371095,3.44682969108206,6.0230944675296,2.57626477644753,0.00506142392229378,0.87056491463453,1.14894323036069,0.592186598908372,0.197395532969457,1.01228478445876,0,2.26751791718761,0.0174458662545152,0.0304854344241896,0.0130395681696744,2.56180121211678e-05,0.00440629808484086,0.00581528875150508,0.00299730741817663,0.000999102472725542,0.00512360242423355,0,0.0114768694302832
2001,25,"25-29","total",18819347,17722067,0.0645298473666238,3.91086895841816,7.52948548108497,3.61861652266681,0,0.967089878304492,1.26465599470587,0.57919119085269,0.286938755101333,1.23808759145575,0,2.67278136696241,0.0207811087091288,0.040009281305483,0.0192281725963542,0,0.0051388067731813,0.00671997808800631,0.00307763702349869,0.00152470091072412,0.00657880207775408,0,0.0142023066313747
2001,30,"30-34","total",20652175,19511370,0.0710450833987775,4.93410500346816,9.64063107154573,4.70652606807757,0,0.958736791645432,1.57852623270915,0.750526276288091,0.430947345739613,1.68505254289197,0,3.55410507609973,0.0238914545488219,0.0466809479948031,0.0227894934459812,0,0.00464230422047766,0.00764338977715009,0.00363412704128302,0.0020866923011238,0.00815920135720316,0,0.0172093499890434
2001,35,"35-39","total",22235918,22179956,0.0807619774419333,7.02916785356017,14.2472192962755,7.21805144271534,0.00449722831321828,1.30869343914652,2.39702269094534,1.08383202348561,0.742042671681016,2.30258089636776,0,5.15382364694815,0.0316117726893946,0.0640729980038401,0.0324612253144455,2.02250625012121e-05,0.00588549318785273,0.0107799583131461,0.00487424006279212,0.0033371353127,0.0103552320006206,0,0.0231779216263891
2001,40,"40-44","total",22815834,22479229,0.0818516946296041,8.5072498336024,16.655100137913,8.14785030431059,0.00438292108892447,1.59100035527958,3.15570318402562,1.27543003687702,0.87220129669597,2.57715760028759,0,6.28072592042877,0.0372866047044452,0.0729979896326078,0.0357113849281626,1.92099972717389e-05,0.00697322900964121,0.013831198035652,0.00559010920607601,0.00382278945707604,0.0112954783957825,0,0.0275279260904018
2001,45,"45-49","total",20698983,19805793,0.0721171406961133,8.01971768371422,15.6239560175493,7.60423833383505,0.00483115523115314,1.37687924087865,2.98082277762149,1.33339884379827,0.864776786376413,2.37692837372735,0,5.90367169246914,0.0387445010400473,0.0754817568454898,0.0367372558054425,2.33400608674984e-05,0.00665191734723704,0.0144008175552465,0.00644185679942956,0.00417787089528221,0.0114833099468092,0,0.028521554380083
2001,50,"50-54","total",18687285,17224359,0.0627175857792397,4.9231335638109,10.0442627166012,5.12112915279025,0.00535123213457707,0.915060695012678,1.99065835406267,0.722416338167904,0.508367052784821,1.35921296218257,0,3.72445756566564,0.0263448305294798,0.0537491814172104,0.0274043508877306,2.86356853581302e-05,0.00489670219624027,0.0106524749532244,0.00386581752334758,0.00272039010902237,0.00727346408096508,0,0.0199304370092586
2001,55,"55-59","total",13968975,13307234,0.0484544934229143,2.41964782670167,5.66254861219238,3.2429007854907,0,0.350777347657935,1.13107797816232,0.30782501937329,0.336459904896386,0.579856431842709,0,1.96148965833213,0.017321584630953,0.0405366078197747,0.0232150231888217,0,0.00251111729857012,0.00809707210559343,0.0022036335477248,0.00240862271495501,0.00415103063641182,0,0.0140417579552696
2001,60,"60-64","total",11136320,10654272,0.0387944897151384,1.39184218844286,3.52899341972932,2.13715123128646,0,0.13469440533318,0.502859113243872,0.197551794488664,0.305307318755208,0.386123961955116,0,1.14041263182092,0.0124982237259962,0.0316890446730097,0.0191908209470135,0,0.0012095055218706,0.00451548728165024,0.00177394143207688,0.00274154584957336,0.00346724916269572,0,0.0102404800851711
2001,65,"65-69","total",9562233,9409940,0.034263609991379,0.627468500296949,2.59353646789406,1.96606796759711,0,0.0627468500296949,0.303276441810192,0.0522890416914125,0.104578083382825,0.16732493341252,0,0.54380603359069,0.00656194531441505,0.0271227072995822,0.0205607619851672,0,0.000656194531441505,0.00317160690196727,0.000546828776201254,0.00109365755240251,0.00174985208384401,0,0.00568701927249304
