"year","race","opioid_type","std_rate","sd"
1998,"total","heroin",1.08239521464101,0.0200151516903609
1999,"total","heroin",0.716237202410856,0.0161898190414065
2000,"total","heroin",0.650101642283159,0.0151639204231549
2001,"total","heroin",0.621625576939832,0.0147477828621933
2002,"total","heroin",0.726541214797641,0.0159093702016527
2003,"total","heroin",0.716792033515437,0.0157412228328506
2004,"total","heroin",0.639670140938492,0.0148009383283426
2005,"total","heroin",0.67773004165615,0.0151752960844593
2006,"total","heroin",0.69637384589062,0.015326348486282
2007,"total","heroin",0.796466749712308,0.0163632963613032
2008,"total","heroin",1.00558789204098,0.0183723200292876
2009,"total","heroin",1.07348981116877,0.0189145783702264
2010,"total","heroin",0.992245205339721,0.0181904251360124
2011,"total","heroin",1.42180155910644,0.021686042632967
2012,"total","heroin",1.91536805233475,0.0251896820150766
2013,"total","heroin",2.64714528248606,0.0295389111394284
2014,"total","heroin",3.38517102554037,0.0334169293004706
2015,"total","heroin",4.14163330887579,0.0369276730953774
2016,"total","heroin",4.90021966165191,0.0400868370069952
2017,"total","heroin",0.0001,0.001
1979,"white","heroin",0.135264243374927,0.008248084499224
1980,"white","heroin",0.12898839023529,0.00814017755433992
1981,"white","heroin",0.157743632948925,0.00894026922841475
1982,"white","heroin",0.219785349342703,0.0103940526927133
1983,"white","heroin",0.199360358827471,0.0099697293252993
1984,"white","heroin",0.237362162985476,0.0107881006049126
1985,"white","heroin",0.358352689248485,0.0132227636204734
1986,"white","heroin",0.388493684052222,0.0137295836616531
1987,"white","heroin",0.231304181963188,0.010544767468361
1988,"white","heroin",0.315088489975771,0.012379103641591
1989,"white","heroin",0.377411791989795,0.0134960633372217
1990,"white","heroin",0.368316660762843,0.0132726812172393
1991,"white","heroin",0.346216718533241,0.0127255186548837
1992,"white","heroin",0.524985329035461,0.015709271370583
1993,"white","heroin",0.697818151564086,0.0180424825808407
1994,"white","heroin",0.689170551952254,0.0178473709764741
1995,"white","heroin",0.833340038230095,0.0195177173766186
1996,"white","heroin",0.847131141401982,0.0195834070156009
1997,"white","heroin",0.96244545830717,0.0208085631576514
1998,"white","heroin",1.11392932073452,0.0223284444767077
1999,"white","heroin",0.74067579015066,0.0181493168037869
2000,"white","heroin",0.66313109897311,0.0170238003984928
2001,"white","heroin",0.65271603174264,0.0168455319059472
2002,"white","heroin",0.758969203514857,0.0181634821343881
2003,"white","heroin",0.767705023469187,0.0182303067041432
2004,"white","heroin",0.69788048678593,0.0173725407816016
2005,"white","heroin",0.72317126729093,0.0176598866349721
2006,"white","heroin",0.758596247053856,0.0180600940683991
2007,"white","heroin",0.878993954928686,0.0194512647849464
2008,"white","heroin",1.15181046365128,0.0223552096429649
2009,"white","heroin",1.21738290087656,0.0229259966662705
2010,"white","heroin",1.14451036816512,0.0223085506992723
2011,"white","heroin",1.65478398052336,0.0267668268444097
2012,"white","heroin",2.24434563795557,0.0312399252292631
2013,"white","heroin",3.07076356376611,0.036557625498015
2014,"white","heroin",3.94707913027458,0.0415153951773548
2015,"white","heroin",4.82582329710465,0.0459506282572449
2016,"white","heroin",5.59704919362858,0.0494980843970276
2017,"white","heroin",0.0001,0.001
1979,"black","methadone",0.0357429258004274,0.0139935194474173
1980,"black","methadone",0.0679508625546633,0.0194295071802449
1981,"black","methadone",0.0412679172403194,0.013662658367779
1982,"black","methadone",0.0643419372135643,0.0179411835581238
1983,"black","methadone",0.0516244090294908,0.0158930410667983
1984,"black","methadone",0.0401521554816333,0.0147762699200134
1985,"black","methadone",0.0064572928186134,0.0047265506267381
1986,"black","methadone",0.0739601041020369,0.0193802009313268
1987,"black","methadone",0.060567259520755,0.0173329450282042
1988,"black","methadone",0.0489288537635234,0.0154658906132923
1989,"black","methadone",0.0311201234452971,0.0123761296237667
1990,"black","methadone",0.0496801305952208,0.0153549680647128
1991,"black","methadone",0.032852453299517,0.0119660546092944
1992,"black","methadone",0.0246785983433062,0.00965073075636195
1993,"black","methadone",0.0001,0.001
1994,"black","methadone",0.0168462769186576,0.00866794028164911
