"year","race","opioid_type","std_rate","sd"
1983,"total","drug",3.56485920791978,0.0410530937108558
1984,"total","drug",3.61430723131703,0.0407593259577766
1985,"total","drug",3.88100353217999,0.0419309938103164
1986,"total","drug",4.27601416363115,0.0435213058076147
1987,"total","drug",4.13776459192521,0.0425039060592113
1988,"total","drug",4.61392063054519,0.0444553210892624
1989,"total","drug",4.70081672277725,0.0445676876900278
1990,"total","drug",4.26343328910812,0.0422543269983067
1991,"total","drug",4.54630378352644,0.0431883290311695
1992,"total","drug",5.02013797979688,0.0449345004711054
1993,"total","drug",5.63924308582816,0.0472618723488807
1994,"total","drug",5.77567515255443,0.0474829817339809
1995,"total","drug",5.80622341674463,0.0472418059229121
1996,"total","drug",5.98212712234615,0.0476313490765764
1997,"total","drug",6.42298432210488,0.0490587259475671
1998,"total","drug",6.73946882624899,0.0499853707946042
1999,"total","drug",6.15143527242302,0.0474822035903965
2000,"total","drug",6.15969568756394,0.0467453949917004
2001,"total","drug",6.78906527467894,0.0488027395881848
2002,"total","drug",8.15807492808155,0.0532835126602074
2003,"total","drug",8.86639307953643,0.0553398878276091
2004,"total","drug",9.33528658567027,0.0565497375272362
2005,"total","drug",10.0234686864662,0.0583161761976185
2006,"total","drug",11.4433684567398,0.0620550782163171
2007,"total","drug",11.8512278193738,0.0629101671159408
2008,"total","drug",11.8816059007621,0.0628197537903392
2009,"total","drug",11.9486308279927,0.0628234038473078
2010,"total","drug",12.2674387194475,0.0634958463425154
2011,"total","drug",13.1527711194852,0.065675984452561
2012,"total","drug",13.0989974792405,0.0653774421305123
2013,"total","drug",13.7361328839341,0.0667299602696981
2014,"total","drug",14.6541972135811,0.068913752081948
2015,"total","drug",16.2861793313106,0.0726418167019629
2016,"total","drug",19.724372895317,0.0798815792612502
2017,"total","drug",0,0
1979,"white","drug",3.75082570320828,0.0463031008330921
1980,"white","drug",3.55380400389443,0.0449065498867346
1981,"white","drug",3.49856573048816,0.0442579678568994
1982,"white","drug",3.5309976335293,0.0438942298554597
1983,"white","drug",3.54739177133086,0.0437922266332147
1984,"white","drug",3.53738797544228,0.0432350625799103
1985,"white","drug",3.84507127039862,0.0447995004798213
1986,"white","drug",4.19227899453981,0.0462817450751137
1987,"white","drug",3.95822095641647,0.0447367968250672
1988,"white","drug",4.39345604040824,0.0467354184263974
1989,"white","drug",4.44599742702972,0.0467745332198199
1990,"white","drug",4.14922174241359,0.0450071126033392
1991,"white","drug",4.32530016273272,0.0455554436063829
1992,"white","drug",4.80742663631202,0.0476443737823309
1993,"white","drug",5.32048509696774,0.0498429698192157
1994,"white","drug",5.41152913413734,0.0499505860980304
1995,"white","drug",5.48177693546087,0.0499764644932233
1996,"white","drug",5.75313512157098,0.0509536574004249
1997,"white","drug",6.22022761190209,0.0527702559911752
1998,"white","drug",6.58045601654166,0.0540836756032533
1999,"white","drug",6.20815224823967,0.0524172756234104
2000,"white","drug",6.37085748793613,0.0526273830138558
2001,"white","drug",7.11185479688761,0.0554337665995456
2002,"white","drug",8.69491758659785,0.0611819490503291
2003,"white","drug",9.57937101264201,0.0641325641416555
2004,"white","drug",10.1614801042212,0.065943145373696
2005,"white","drug",10.8746710327083,0.068054170510487
2006,"white","drug",12.4576811288322,0.0727297597784339
2007,"white","drug",13.1745508521616,0.0746907245474012
2008,"white","drug",13.4341807559336,0.0753747024071228
2009,"white","drug",13.5316417599404,0.0755890379264747
2010,"white","drug",14.0554196236074,0.0770729697125954
2011,"white","drug",15.0793144296265,0.0798997396335503
2012,"white","drug",15.0193946578585,0.0797041544962087
2013,"white","drug",15.735302531324,0.0814825436192448
2014,"white","drug",16.7794002826794,0.084307202148223
2015,"white","drug",18.6602754249646,0.0891461694634062
2016,"white","drug",22.3404596032354,0.0977876930255027
2017,"white","drug",0,0
1979,"black","nonopioid",3.18976282545226,0.126324332245346
1980,"black","nonopioid",3.37663036904354,0.1325351746986
1981,"black","nonopioid",3.65441822014948,0.13554670200806
1982,"black","nonopioid",3.35257444807294,0.126754230481855
1983,"black","nonopioid",3.13793742514432,0.123739489716913
1984,"black","nonopioid",3.70419114684657,0.130716031218033
1985,"black","nonopioid",3.61407721683546,0.128255412125272
1986,"black","nonopioid",4.40496742400364,0.140056960240665
1987,"black","nonopioid",4.82245986052589,0.142331336100996
1988,"black","nonopioid",5.35121218079151,0.147738543341474
1989,"black","nonopioid",5.58733664535338,0.150220081011497
1990,"black","nonopioid",4.20228543265118,0.12985146204386
1991,"black","nonopioid",5.33157937296559,0.143323056374613
1992,"black","nonopioid",5.44668070905084,0.143256504171851
1993,"black","nonopioid",6.40655989370644,0.1531544495414
1994,"black","nonopioid",6.74124439170519,0.155911347052119
1995,"black","nonopioid",6.38882346742163,0.149368861746006
1996,"black","nonopioid",6.3709072391208,0.147422852140367
1997,"black","nonopioid",6.7466052747943,0.150569971274038
1998,"black","nonopioid",6.90482684132017,0.150792808858403
1999,"black","nonopioid",4.04949742375086,0.113080096708272
2000,"black","nonopioid",3.82369724121037,0.108602341547242
2001,"black","nonopioid",4.20327106852374,0.112589760141712
2002,"black","nonopioid",4.53017736576917,0.115212103264379
2003,"black","nonopioid",4.6872191256719,0.116607349096532
2004,"black","nonopioid",5.035686312027,0.119669225738203
2005,"black","nonopioid",5.82840961676352,0.127047657211785
2006,"black","nonopioid",6.48051253492574,0.133100291532929
2007,"black","nonopioid",6.03705424194288,0.127392426289084
2008,"black","nonopioid",4.90323849434989,0.114103474203465
2009,"black","nonopioid",4.61604628861282,0.109589702950913
2010,"black","nonopioid",4.561215258637,0.108247393082218
2011,"black","nonopioid",4.76583981216103,0.109935979118465
2012,"black","nonopioid",4.63402011731359,0.107746323444881
2013,"black","nonopioid",4.86670308420171,0.109427865780536
2014,"black","nonopioid",4.8614701437422,0.108819212456209
2015,"black","nonopioid",5.50773688204788,0.115160609916398
2016,"black","nonopioid",6.68326198114989,0.126252203876884
2017,"black","nonopioid",0,0
1979,"total","nonopioid",3.28765842423834,0.040836920995239
1980,"total","nonopioid",3.15327735628745,0.039849384911683
1981,"total","nonopioid",3.10843637809153,0.0392458889394604
1982,"total","nonopioid",3.01904202794023,0.0381505928318425
1983,"total","nonopioid",3.014113731855,0.0379818817071382
1984,"total","nonopioid",3.01786744764862,0.0374553863379081
1985,"total","nonopioid",3.1424304065169,0.0379634069833271
1986,"total","nonopioid",3.45190247521935,0.0393094895384403
1987,"total","nonopioid",3.43840160145951,0.0388640513950017
1988,"total","nonopioid",3.73364412479957,0.0401028618187424
1989,"total","nonopioid",3.70293590204646,0.0396549790813014
1990,"total","nonopioid",3.35688420647879,0.0376682433351169
1991,"total","nonopioid",3.55058778224373,0.0382847731753584
1992,"total","nonopioid",3.67492992177542,0.0385413579784233
1993,"total","nonopioid",3.87672800460449,0.0392970312255927
1994,"total","nonopioid",3.97925365462556,0.0394789240409264
1995,"total","nonopioid",3.84569277057159,0.0385120044601159
1996,"total","nonopioid",4.01599897082554,0.0390753937277958
1997,"total","nonopioid",4.23658886517974,0.0398937426934156
1998,"total","nonopioid",4.24350285030696,0.0396944168166344
1999,"total","nonopioid",3.20752931683001,0.0343031303242464
2000,"total","nonopioid",3.18477496221112,0.0336248838417768
2001,"total","nonopioid",3.46600783070221,0.0348856744426462
2002,"total","nonopioid",4.01838902995792,0.0373929723428971
2003,"total","nonopioid",4.41077342255746,0.0390251664115811
2004,"total","nonopioid",4.64977240149123,0.0399135316344553
2005,"total","nonopioid",5.00017000407575,0.0411833085954182
2006,"total","nonopioid",5.60263359150163,0.0434149246303191
2007,"total","nonopioid",5.73750953095238,0.0437203394879057
2008,"total","nonopioid",5.47489552542382,0.0425970388955043
2009,"total","nonopioid",5.32930861358123,0.0418967121250999
2010,"total","nonopioid",5.47452583093169,0.042297487124046
2011,"total","nonopioid",5.85268485408053,0.0436788186504265
2012,"total","nonopioid",5.72655543855772,0.0430588536553168
2013,"total","nonopioid",5.84580329507753,0.043363625207856
2014,"total","nonopioid",5.65521726943298,0.0426076499210082
2015,"total","nonopioid",5.90876340380354,0.0435164485052813
2016,"total","nonopioid",6.50577809528224,0.0455735948815333
2017,"total","nonopioid",0,0
1979,"white","nonopioid",3.31074587591746,0.043694984205463
1980,"white","nonopioid",3.15636867525038,0.0424880077821232
1981,"white","nonopioid",3.06388751098834,0.0415981841294356
1982,"white","nonopioid",3.00503582624881,0.0407241488826285
1983,"white","nonopioid",3.02408828374762,0.0406681884287192
1984,"white","nonopioid",2.97236699708204,0.0398455715024033
1985,"white","nonopioid",3.13218438732809,0.0406756575849201
1986,"white","nonopioid",3.39781872855709,0.041856938612092
1987,"white","nonopioid",3.31097409929575,0.0410426053873076
1988,"white","nonopioid",3.59513990896416,0.0423795935556775
1989,"white","nonopioid",3.53422293956691,0.0417792821191578
1990,"white","nonopioid",3.30049961807634,0.0402898354343558
1991,"white","nonopioid",3.39041710797973,0.0404420067795641
1992,"white","nonopioid",3.51841607219653,0.040831663958741
1993,"white","nonopioid",3.62953485347031,0.0412335254601423
1994,"white","nonopioid",3.69989976234695,0.0413284970305759
1995,"white","nonopioid",3.60162075725957,0.040530723304519
1996,"white","nonopioid",3.80086257872137,0.0414082846235975
1997,"white","nonopioid",4.019786862473,0.0423998345049117
1998,"white","nonopioid",4.01601458373054,0.0421909678390208
1999,"white","nonopioid",3.20042794827802,0.0375849914185238
2000,"white","nonopioid",3.26626676152394,0.0376267949169146
2001,"white","nonopioid",3.5556472326116,0.0391454286320016
2002,"white","nonopioid",4.17630747629227,0.0423197624140566
2003,"white","nonopioid",4.63549397628939,0.0445275001190239
2004,"white","nonopioid",4.88339572869854,0.0456368573691769
2005,"white","nonopioid",5.21131257002037,0.0470285281974608
2006,"white","nonopioid",5.85873757176568,0.0497819839040292
2007,"white","nonopioid",6.11904108184645,0.0507566173989223
2008,"white","nonopioid",5.98584548809737,0.0501519886733238
2009,"white","nonopioid",5.8452892910021,0.0495080842867203
2010,"white","nonopioid",6.05938107823914,0.0503517683853885
2011,"white","nonopioid",6.49024925254089,0.0521419852252355
2012,"white","nonopioid",6.37384656382649,0.0515993267082067
2013,"white","nonopioid",6.4888185372443,0.0519791899291108
2014,"white","nonopioid",6.24839702105889,0.0510622376351343
2015,"white","nonopioid",6.46857171439969,0.0520607332542969
2016,"white","nonopioid",7.06213404451749,0.0544325853594134
2017,"white","nonopioid",0,0
1979,"black","opioid",0.619179483966348,0.0521905483369149
1980,"black","opioid",0.710318356692294,0.0567772990442452
1981,"black","opioid",0.726082048640906,0.057523628798989
1982,"black","opioid",0.969757387228675,0.0653914737545677
1983,"black","opioid",0.830586328933422,0.0603184411695571
1984,"black","opioid",0.943419216342413,0.0629901196069738
1985,"black","opioid",1.07237604479426,0.0668249368007202
1986,"black","opioid",1.22214931503005,0.0705613675951828
1987,"black","opioid",1.22076190800949,0.0711362304720612
1988,"black","opioid",1.70395886134037,0.0823692861774049
1989,"black","opioid",1.88099823538126,0.0847441896751633
1990,"black","opioid",1.52870219239083,0.0755300050706994
1991,"black","opioid",1.73914521225785,0.0806696033705447
1992,"black","opioid",2.12686527512079,0.0883660241718799
1993,"black","opioid",2.81868243412127,0.0999006625311471
1994,"black","opioid",2.92634671718436,0.101856516667943
1995,"black","opioid",3.13055504386927,0.104253410977273
1996,"black","opioid",2.6521543215188,0.0939254686145339
1997,"black","opioid",2.73389946732348,0.0940886920975437
1998,"black","opioid",2.80939269562375,0.0946799721938585
1999,"black","opioid",3.5262066787667,0.104288603371977
2000,"black","opioid",3.44416371039812,0.101441408679894
2001,"black","opioid",3.34885508843172,0.099138571389986
2002,"black","opioid",3.60325610388669,0.10199851793284
2003,"black","opioid",3.45568627552553,0.0990117648421368
2004,"black","opioid",3.1545327001084,0.0937018883207699
2005,"black","opioid",3.41430389476909,0.0967750583127337
2006,"black","opioid",4.15387385328595,0.105841129862275
2007,"black","opioid",3.51995908092093,0.0964585580917963
2008,"black","opioid",3.39137087343004,0.0939238569569926
2009,"black","opioid",3.55758132113167,0.0955907252235335
2010,"black","opioid",3.33422302522464,0.0915059587816647
2011,"black","opioid",3.70388985455669,0.0960212945248758
2012,"black","opioid",4.00593307648678,0.0993054013035406
2013,"black","opioid",4.62982631194946,0.105864868042333
2014,"black","opioid",5.54462997233657,0.11581731130557
2015,"black","opioid",6.5622910598968,0.125508982115921
2016,"black","opioid",10.278922964379,0.155688289319264
2017,"black","opioid",0,0
1979,"total","opioid",0.455933622061378,0.0145977867523974
1980,"total","opioid",0.426434012913029,0.0140899685459351
1981,"total","opioid",0.459580280824699,0.0145602119130967
1982,"total","opioid",0.56734298352616,0.0158993452263378
1983,"total","opioid",0.55074547606478,0.015579896187628
1984,"total","opioid",0.596439783668412,0.0160753440650684
1985,"total","opioid",0.738573125663092,0.0178041560355738
1986,"total","opioid",0.8241116884118,0.0186780109066028
1987,"total","opioid",0.699362990465694,0.0172095188618662
