"year","race","opioid_type","std_rate","var","sd"
2002,"total","methadone",0.818293885836302,0.00028454605386486,0.0168684929340134
2003,"total","methadone",1.02318017074411,0.00035349124648658,0.0188013628890722
2004,"total","methadone",1.31160826846351,0.00044982459422142,0.021209068678785
2005,"total","methadone",1.50454044114712,0.00051118479995368,0.0226093962757452
2006,"total","methadone",1.80627607985658,0.00060950966162317,0.0246882494645362
2007,"total","methadone",1.82391296832359,0.00061033462285092,0.024704951383294
2008,"total","methadone",1.6136350267768,0.00053706833950257,0.0231747349392085
2009,"total","methadone",1.52576790282166,0.00050583089707506,0.0224906846733278
2010,"total","methadone",1.4744989264336,0.00048627024675648,0.0220515361541204
2011,"total","methadone",1.42201080737538,0.0004707139669777,0.0216959435604377
2012,"total","methadone",1.25454122804459,0.00041339576440655,0.0203321362479831
2013,"total","methadone",1.13615194256305,0.00037283247336965,0.0193088703286767
2014,"total","methadone",1.06560631992629,0.00034754465648429,0.0186425496240265
2015,"total","methadone",1.0225315772685,0.00033109691008211,0.0181960685336726
2016,"total","methadone",1.03898146797551,0.00033591372223972,0.018327949209874
2017,"total","methadone",0.972216949305864,0.00031130556541406,0.0176438534740589
2018,"total","methadone",0.914771896439253,0.0002918194498703,0.0170827237251646
2019,"total","methadone",0.825849863817226,0.00026281708007444,0.0162116340963655
1999,"white","methadone",0.313012533158373,0.00013900677905983,0.0117901136152214
2000,"white","methadone",0.394493275870657,0.00017223376069972,0.0131237860657556
2001,"white","methadone",0.575922320448435,0.00024969566431103,0.0158017614306453
2002,"white","methadone",0.940878176357448,0.00040732262790322,0.0201822354535671
2003,"white","methadone",1.1966074766,0.00051760902819666,0.0227510225747473
2004,"white","methadone",1.52631828421754,0.00065850517305657,0.0256613556355967
2005,"white","methadone",1.75047201046675,0.00075142675985392,0.0274121644503662
2006,"white","methadone",2.11500900714528,0.00090703117708006,0.0301169582972793
2007,"white","methadone",2.15226082618293,0.00091973501018859,0.0303271332339308
2008,"white","methadone",1.91267347113455,0.0008154879020302,0.0285567488000683
2009,"white","methadone",1.79829477429529,0.00076760791744947,0.0277057379878153
2010,"white","methadone",1.75352800746784,0.0007482667004649,0.0273544639952038
2011,"white","methadone",1.6771484523642,0.00072070130908885,0.0268458806726255
2012,"white","methadone",1.48145472443552,0.00063527326934386,0.0252046279350412
2013,"white","methadone",1.34121183748474,0.0005747878810388,0.0239747342224851
2014,"white","methadone",1.25798606654382,0.00053822910629586,0.0231997652207056
2015,"white","methadone",1.20679779952121,0.0005140568442629,0.0226728217093263
2016,"white","methadone",1.21509853032994,0.00052060618500087,0.0228167961160385
2017,"white","methadone",1.11759796035046,0.00047642127624279,0.0218270766765224
2018,"white","methadone",1.05537480973892,0.00044976112274679,0.0212075722973373
2019,"white","methadone",0.936461689616789,0.00040086743364214,0.0200216740968916
1999,"black","natural",0.622303864954341,0.00195069277956377,0.0441666478189569
2000,"black","natural",0.597621265726558,0.00179972575815485,0.0424231747769406
2001,"black","natural",0.655317609499468,0.00194220855302733,0.0440704952664175
2002,"black","natural",0.781900594181122,0.00228004715254737,0.0477498392934193
2003,"black","natural",0.745060419430429,0.00212087091220376,0.0460529142639612
2004,"black","natural",0.857259140514005,0.00237433185376114,0.0487271162060832
2005,"black","natural",0.936400525509903,0.00257957851797477,0.0507895512677044
2006,"black","natural",1.03501909451453,0.00277323763770841,0.0526615385049507
2007,"black","natural",1.09212537097195,0.00286562414270961,0.0535315247560688
2008,"black","natural",1.23064153572701,0.00320445637053714,0.0566079179138143
2009,"black","natural",1.32861955726468,0.00345571263993189,0.0587853097289781
2010,"black","natural",1.40669183385482,0.00351666879823819,0.0593015075545149
2011,"black","natural",1.44549874796898,0.00359519851611182,0.0599599742837822
2012,"black","natural",1.53960352941948,0.00380949292229631,0.0617210897691892
2013,"black","natural",1.65558881480835,0.00403741854599799,0.0635406841794924
2014,"black","natural",1.9531283115072,0.00470374136409758,0.068583827277993
2015,"black","natural",2.11276174617992,0.00515218346246636,0.0717787117637699
2016,"black","natural",2.69224055488442,0.00636102614706638,0.0797560414455631
2017,"black","natural",2.85933224711741,0.00670035958164071,0.0818557241837167
2018,"black","natural",2.68992871574455,0.00621986202366236,0.0788661018667866
2019,"black","natural",2.88209195713451,0.00665663355376889,0.0815881949412345
1999,"total","natural",1.00559746895769,0.0003685481086368,0.0191976068466046
2000,"total","natural",1.03353948468275,0.00036662101642037,0.0191473501148428
2001,"total","natural",1.21754003545172,0.00042677195593953,0.0206584596700608
2002,"total","natural",1.53180599774131,0.00053245244352491,0.0230749310621919
2003,"total","natural",1.67170602494105,0.00057623462803086,0.0240048875862992
2004,"total","natural",1.77546588312082,0.00060600126235124,0.0246170928899259
2005,"total","natural",1.93700175653782,0.00065538218824407,0.025600433360474
2006,"total","natural",2.32267104559653,0.00077823816754789,0.0278969203954109
2007,"total","natural",2.68293023106681,0.00089521921381718,0.0299202141338791
2008,"total","natural",2.97029489056128,0.00098492511958496,0.031383516686072
2009,"total","natural",3.14196829979696,0.00103696602819433,0.0322019569000756
2010,"total","natural",3.51500572438369,0.00115867739539995,0.0340393506900462
2011,"total","natural",3.72866825036889,0.0012250890962419,0.0350012727803133
2012,"total","natural",3.52183582677505,0.00115201855698727,0.0339413988660937
2013,"total","natural",3.53470661056583,0.00114377389736016,0.0338197264530652
2014,"total","natural",3.75987675881493,0.00121347884688123,0.0348350232794702
2015,"total","natural",3.92029867111499,0.00126416863515015,0.0355551492072548
2016,"total","natural",4.42934246860721,0.00142006038792726,0.0376836886189139
2017,"total","natural",4.4067933650904,0.00140683974257581,0.0375078624101109
2018,"total","natural",3.77235955941214,0.00119461682316049,0.0345632293508649
2019,"total","natural",3.56313361659995,0.00112644495105601,0.0335625528089865
1999,"white","natural",1.10931730130242,0.00049163811719976,0.0221729140439357
2000,"white","natural",1.160148969712,0.00050495982072604,0.0224713110593494
2001,"white","natural",1.38059741817693,0.00059686850397258,0.0244308924104827
2002,"white","natural",1.74388021281533,0.00075009789551169,0.027387915136273
2003,"white","natural",1.93119572926466,0.000827530605906,0.0287668316973907
2004,"white","natural",2.04150560773348,0.00087003456369909,0.0294963483112586
2005,"white","natural",2.23037611012454,0.00094577433119114,0.0307534442167238
2006,"white","natural",2.70114449263807,0.00114083467600159,0.033776244255417
2007,"white","natural",3.15454547397967,0.00133371067674694,0.0365200037889776
2008,"white","natural",3.49541986019327,0.00147520942797601,0.0384084551625812
2009,"white","natural",3.69083081866482,0.00155564332272054,0.0394416445235305
2010,"white","natural",4.16592688039541,0.00176562623554755,0.0420193554870556
2011,"white","natural",4.4414830110078,0.0018819049067489,0.043380927914798
2012,"white","natural",4.16178627979767,0.00176058510344808,0.0419593267754391
2013,"white","natural",4.17076586807182,0.0017502707380112,0.0418362371397237
2014,"white","natural",4.40724968216529,0.00185148343129455,0.0430288674182176
2015,"white","natural",4.61312953048734,0.00194274501134065,0.0440765812120297
2016,"white","natural",5.19062857703763,0.00218973298920829,0.0467945829045232
2017,"white","natural",5.13491200410226,0.00216111951442204,0.0464878426518379
2018,"white","natural",4.3733475786065,0.0018325104832533,0.042807832031689
2019,"white","natural",4.07264517190782,0.00170720078129763,0.0413182862821975
1999,"black","nonh_nonm",2.74199900296905,0.00845658634528772,0.0919596995715391
2000,"black","nonh_nonm",2.60929908139512,0.00781173569321192,0.0883840239704661
2001,"black","nonh_nonm",2.52000489621313,0.00741305794383539,0.0860991169747715
2002,"black","nonh_nonm",2.57527143264789,0.00744975256331349,0.086311949134019
